# Export uit de database. Formaat: van;naar;opmerking
10 c c|silly love;10cc|silly love;zelfde artiest, andere spatiëring of afkorting
10 c c|the wall street shuffle;10cc|the wall street shuffle;zelfde artiest, andere spatiëring of afkorting
10 cc|i m not in love;10cc|i m not in love;zelfde artiest, andere spatiëring of afkorting
3j s & ellen ten damme|wat is dromen;3js & ellen ten damme|wat is dromen;Automatisch gevonden hernoemingen uit de jaargangen 2000-2026. Per paar is vastgesteld dat de weken elkaar aanvullen tot een aaneengesloten reeks en nooit overlappen: het is dus een lopende notering die de site onderweg anders is gaan schrijven, meestal door een typefout. De richting wijst naar de schrijfwijze die het vaakst voorkomt. 2011 oranje
3j s|bevlogen als vogels;3js|bevlogen als vogels;zelfde artiest, andere spatiëring of afkorting
3j s|hier voor jou;3js|hier voor jou;zelfde artiest, andere spatiëring of afkorting
3j s|hou van mij;3js|hou van mij;zelfde artiest, andere spatiëring of afkorting
3j s|je vecht nooit alleen;3js|je vecht nooit alleen;zelfde artiest, andere spatiëring of afkorting
3j s|kamers van mijn hart;3js|kamers van mijn hart;zelfde artiest, andere spatiëring of afkorting
3j s|watermensen;3js|watermensen;zelfde artiest, andere spatiëring of afkorting
3j s|wiegelied;3js|wiegelied;zelfde artiest, andere spatiëring of afkorting
3js|hou van mij;3j s|hou van mij;2008 oranje
3js|je vecht nooit alleen;3js|je vecht nooit alleen never alone;2011 oranje
abba teens|mamma mia;a teens|mamma mia;ABBA*Teens is de eerdere naam van A*Teens
abba|sos;abba|s o s;zelfde nummer, andere spatiëring
abdul hassan & orchestra|arabian affair;abdul hassan orchestra|arabian affair;typefout in de artiestnaam (Abdul Hassan & Orchestra -> The Abdul Hassan Orchestra), vastgesteld met MusicBrainz/Wikipedia
ac dc|big gun;acdc|big gun;zelfde artiest, andere spatiëring of afkorting
ac dc|hard as a rock;acdc|hard as a rock;zelfde artiest, andere spatiëring of afkorting
ac dc|highway to hell;acdc|highway to hell;zelfde artiest, andere spatiëring of afkorting
ac dc|highway to hell all music live;acdc|highway to hell all music live;zelfde artiest, andere spatiëring of afkorting
ac dc|moneytalks;acdc|moneytalks;zelfde artiest, andere spatiëring of afkorting
ac dc|rock n roll damnation;acdc|rock n roll damnation;zelfde artiest, andere spatiëring of afkorting
ac dc|shot in the dark;acdc|shot in the dark;zelfde artiest, andere spatiëring of afkorting
ac dc|thunderstruck;acdc|thunderstruck;zelfde artiest, andere spatiëring of afkorting
ac dc|whole lotta rosie;acdc|whole lotta rosie;zelfde artiest, andere spatiëring of afkorting
acdc|anything goes;ac dc|anything goes;vastgestelde schrijfwijze levert een andere sleutel op
acdc|back in black;ac dc|back in black;vastgestelde schrijfwijze levert een andere sleutel op
acdc|big gun;ac dc|big gun;vastgestelde schrijfwijze levert een andere sleutel op
acdc|for those about to rock we salute you;ac dc|for those about to rock we salute you;vastgestelde schrijfwijze levert een andere sleutel op
acdc|hard as a rock;ac dc|hard as a rock;vastgestelde schrijfwijze levert een andere sleutel op
acdc|hells bells;ac dc|hells bells;vastgestelde schrijfwijze levert een andere sleutel op
acdc|highway to hell;ac dc|highway to hell;vastgestelde schrijfwijze levert een andere sleutel op
acdc|highway to hell all music live;ac dc|highway to hell all music live;vastgestelde schrijfwijze levert een andere sleutel op
acdc|it s a long way to the top if you wanna rock n roll;ac dc|it s a long way to the top if you wanna rock n roll;vastgestelde schrijfwijze levert een andere sleutel op
acdc|let there be rock;ac dc|let there be rock;vastgestelde schrijfwijze levert een andere sleutel op
acdc|moneytalks;ac dc|moneytalks;vastgestelde schrijfwijze levert een andere sleutel op
acdc|ride on;ac dc|ride on;vastgestelde schrijfwijze levert een andere sleutel op
acdc|riff raff;ac dc|riff raff;vastgestelde schrijfwijze levert een andere sleutel op
acdc|rock n roll damnation;ac dc|rock n roll damnation;vastgestelde schrijfwijze levert een andere sleutel op
acdc|rocker;ac dc|rocker;vastgestelde schrijfwijze levert een andere sleutel op
acdc|shot in the dark;ac dc|shot in the dark;vastgestelde schrijfwijze levert een andere sleutel op
acdc|t n t;ac dc|t n t;vastgestelde schrijfwijze levert een andere sleutel op
acdc|the jack;ac dc|the jack;vastgestelde schrijfwijze levert een andere sleutel op
acdc|thunderstruck;ac dc|thunderstruck;vastgestelde schrijfwijze levert een andere sleutel op
acdc|whole lotta rosie;ac dc|whole lotta rosie;vastgestelde schrijfwijze levert een andere sleutel op
acdc|you shook me all night long;ac dc|you shook me all night long;vastgestelde schrijfwijze levert een andere sleutel op
adam port stryv & malachiii|move;adam port & stryv|move;Gevonden via de kruiscontrole met michajans.nl: hun ene notering is bij ons in tweeen gevallen, met punten en weken die precies optellen.
adamo|les filles du bord du mer;adamo|les filles du bord de mer;zelfde nummer, andere schrijfwijze (bron kent er een)
adele bloemendaal & leen jongewaard & piet romer|we zijn toch op de wereld om mekaar te helpen nietwaar;adele bloemendaal & leen jongewaard & piet romer|we zijn toch op de wereld om mekaar te helpen niewaar;zelfde nummer, andere schrijfwijze (bron kent er geen)
aha|the blood that moves the body;a ha|the blood that moves the body;zelfde artiest, andere spatiëring of afkorting
alex|mama maria;zanger alex|mama maria;2024 oranje
ancora|speel nog een keer piano man;ancora|speel nog een keertje piano man;2024 oranje
andre moss|ella;andre moss|ella tros tune;"zelfde nummer als de Top 40-notering van 1973; de Evergreen Top 1000 laat de toevoeging weg"
andre moss|ella ella tros tune;andre moss|ella tros tune;"top40.nl noteerde twee schrijfwijzen; MusicBrainz kent beide, keuze van Heye"
apache indian ft the don raja|nuff vibes ep boom shack a lak;apache indian ft the don raja|boom shack a lak;top40.nl zet de uitgave voor het nummer
apollo fourforty|charlie s angels 2000 theme from the motion picture;apollo four forty|charlie s angels 2000 theme from the motion picture;zelfde artiest, andere spatiëring of afkorting
ariana grande ariana grande ft doja cat & megan thee stallion|34 35 34 35 remix;ariana grande|34 35;2021 tipparade
arjan oostrom|zij is de mooiste van de dansvloer;arjon oostrom|zij is de mooiste van de dansvloer;2015 oranje
armand|blommen kinders;armand|blommenkinders;zelfde nummer, andere schrijfwijze (bron kent er een)
arthur conley|funky street;arthur conley|funkystreet;zelfde nummer, andere schrijfwijze (bron kent er een)
b j thomas|raindrops keep fallin on my head;b j thomas|raindrops keep falling on my head;zelfde nummer, andere schrijfwijze (bron kent er twee)
b z n|maybe someday;bzn|maybe someday;zelfde artiest, andere spatiëring of afkorting
b z n|mother can you see me;bzn|mother can you see me;zelfde artiest, andere spatiëring of afkorting
babysitters circus|everything s gonna be alright;babysitters circus|everythings gonna be alright;zelfde nummer, andere schrijfwijze (bron kent er twee)
back street boys|inconsolable;backstreet boys|inconsolable;zelfde artiest, andere spatiëring of afkorting
backstreetboys|i still;backstreet boys|i still;zelfde artiest, andere spatiëring of afkorting
backstreetboys|incomplete;backstreet boys|incomplete;zelfde artiest, andere spatiëring of afkorting
backstreetboys|just want you to know;backstreet boys|just want you to know;zelfde artiest, andere spatiëring of afkorting
bb & q band|genie;b b & q band|genie;zelfde artiest, andere spatiëring of afkorting
bc 52 s|meet the flintstones;b c 52 s|meet the flintstones;zelfde artiest, andere spatiëring of afkorting
beatles|baby it s you i ll follow the sun;beatles|i ll follow the sun;top40.nl zet de uitgave voor het nummer
beatles|rock and rollmusic;beatles|rock and roll music;zelfde nummer, andere spatiëring
beegees|alone;bee gees|alone;zelfde artiest, andere spatiëring of afkorting
beegees|for whom the bell tolls;bee gees|for whom the bell tolls;zelfde artiest, andere spatiëring of afkorting
beegees|kiss of life;bee gees|kiss of life;zelfde artiest, andere spatiëring of afkorting
beegees|paying the price of love;bee gees|paying the price of love;zelfde artiest, andere spatiëring of afkorting
beegees|this is where i came in;bee gees|this is where i came in;zelfde artiest, andere spatiëring of afkorting
bert kaempfert|a swingin safari;bert kaempfert|a swinging safari;zelfde nummer, andere schrijfwijze (bron kent er twee)
bl f & geike arnaert|we doen wat we kunnen;blof & geike arnaert|we doen wat we kunnen;vastgestelde schrijfwijze levert een andere sleutel op
bl f & geike arnaert|zoutelande;blof & geike arnaert|zoutelande;vastgestelde schrijfwijze levert een andere sleutel op
bl f|aan de kust;blof|aan de kust;vastgestelde schrijfwijze levert een andere sleutel op
bl f|aan de kust live;blof|aan de kust live;vastgestelde schrijfwijze levert een andere sleutel op
bl f|alles is liefde;blof|alles is liefde;vastgestelde schrijfwijze levert een andere sleutel op
bl f|barcelona;blof|barcelona;vastgestelde schrijfwijze levert een andere sleutel op
bl f|beter;blof|beter;vastgestelde schrijfwijze levert een andere sleutel op
bl f|bitterzoet;blof|bitterzoet;vastgestelde schrijfwijze levert een andere sleutel op
bl f|blauwe ruis;blof|blauwe ruis;vastgestelde schrijfwijze levert een andere sleutel op
bl f|dansen aan zee;blof|dansen aan zee;vastgestelde schrijfwijze levert een andere sleutel op
bl f|dat wij dat zijn;blof|dat wij dat zijn;vastgestelde schrijfwijze levert een andere sleutel op
bl f|de storm geef niet op;blof|de storm geef niet op;vastgestelde schrijfwijze levert een andere sleutel op
bl f|dichterbij dan ooit;blof|dichterbij dan ooit;vastgestelde schrijfwijze levert een andere sleutel op
bl f|doe het dan;blof|doe het dan;vastgestelde schrijfwijze levert een andere sleutel op
bl f|donker hart;blof|donker hart;vastgestelde schrijfwijze levert een andere sleutel op
bl f|een dag op de grens;blof|een dag op de grens;vastgestelde schrijfwijze levert een andere sleutel op
bl f|een manier om thuis te komen;blof|een manier om thuis te komen;vastgestelde schrijfwijze levert een andere sleutel op
bl f|harder dan ik hebben kan;blof|harder dan ik hebben kan;vastgestelde schrijfwijze levert een andere sleutel op
bl f|hart tegen hart;blof|hart tegen hart;vastgestelde schrijfwijze levert een andere sleutel op
bl f|hier;blof|hier;vastgestelde schrijfwijze levert een andere sleutel op
bl f|horizon;blof|horizon;vastgestelde schrijfwijze levert een andere sleutel op
bl f|hou vol hou vast;blof|hou vol hou vast;vastgestelde schrijfwijze levert een andere sleutel op
bl f|later als ik groter ben;blof|later als ik groter ben;vastgestelde schrijfwijze levert een andere sleutel op
bl f|levenslang;blof|levenslang;vastgestelde schrijfwijze levert een andere sleutel op
bl f|liefs uit londen;blof|liefs uit londen;vastgestelde schrijfwijze levert een andere sleutel op
bl f|meer van jou live in ahoy;blof|meer van jou live in ahoy;vastgestelde schrijfwijze levert een andere sleutel op
bl f|midzomernacht;blof|midzomernacht;vastgestelde schrijfwijze levert een andere sleutel op
bl f|misschien niet de eeuwigheid;blof|misschien niet de eeuwigheid;vastgestelde schrijfwijze levert een andere sleutel op
bl f|mooie dag;blof|mooie dag;vastgestelde schrijfwijze levert een andere sleutel op
bl f|niets dan dit;blof|niets dan dit;vastgestelde schrijfwijze levert een andere sleutel op
bl f|oktober;blof|oktober;vastgestelde schrijfwijze levert een andere sleutel op
bl f|omarm;blof|omarm;vastgestelde schrijfwijze levert een andere sleutel op
bl f|open je ogen;blof|open je ogen;vastgestelde schrijfwijze levert een andere sleutel op
bl f|opstand;blof|opstand;vastgestelde schrijfwijze levert een andere sleutel op
bl f|over de dam;blof|over de dam;vastgestelde schrijfwijze levert een andere sleutel op
bl f|spijt heb je morgen maar;blof|spijt heb je morgen maar;vastgestelde schrijfwijze levert een andere sleutel op
bl f|vallende engel;blof|vallende engel;vastgestelde schrijfwijze levert een andere sleutel op
bl f|vandaag;blof|vandaag;vastgestelde schrijfwijze levert een andere sleutel op
bl f|verlaat me nu nog niet;blof|verlaat me nu nog niet;vastgestelde schrijfwijze levert een andere sleutel op
bl f|was je maar hier;blof|was je maar hier;vastgestelde schrijfwijze levert een andere sleutel op
bl f|wat zou je doen;blof|wat zou je doen;vastgestelde schrijfwijze levert een andere sleutel op
bl f|wat zou je doen live;blof|wat zou je doen live;vastgestelde schrijfwijze levert een andere sleutel op
bl f|wijd open;blof|wijd open;vastgestelde schrijfwijze levert een andere sleutel op
bl f|zachtjes zingen;blof|zachtjes zingen;vastgestelde schrijfwijze levert een andere sleutel op
bl f|zaterdag;blof|zaterdag;vastgestelde schrijfwijze levert een andere sleutel op
bl f|ze is er niet;blof|ze is er niet;vastgestelde schrijfwijze levert een andere sleutel op
bl f|zo stil;blof|zo stil;vastgestelde schrijfwijze levert een andere sleutel op
blackstreet|a blackstreet ballad to keep you warm through the holidays never gonna let you go;blackstreet|never gonna let you go;top40.nl zet de uitgave voor het nummer
blof & geike arnaert|zoutelande;bl f & geike arnaert|zoutelande;2018 oranje
blof|spijt heb je morgen maar;bl f|spijt heb je morgen maar;2014 oranje
bloodhound gang|the ballad of chaseylain;bloodhound gang|the ballad of chasey lain;zelfde nummer, andere spatiëring
bloodhoundgang|the ballad of chaseylain;bloodhound gang|the ballad of chaseylain;typefout in de artiestnaam (The Bloodhoundgang -> Bloodhound Gang), vastgesteld met MusicBrainz/Wikipedia
blue nile|tinsel town in the rain;blue nile|tinseltown in the rain;zelfde nummer, andere schrijfwijze (bron kent er een)
bob de rooy|10 tieneke 10;paul de leeuw bob de rooy|10 tieneke 10;Bob de Rooy is het alter ego van Paul de Leeuw
bob de rooy|in the ghetto;paul de leeuw bob de rooy|in the ghetto;Bob de Rooy is het alter ego van Paul de Leeuw
bobby hebb|sunny;bobby hebb cher georgie fame|sunny;
bobby solo|una lacrima sul viso;bobby solo|una lacrima sul visa;zelfde nummer, andere schrijfwijze (bron kent er een)
boudewijn de groot|de avonden avond;boudewijn de groot|avond;top40.nl zet de uitgave voor het nummer
brendan croker and the 5 o clock shadows|ep this kind of life;brendan croker and the 5 o clock shadows|this kind of life;top40.nl zet de uitgave voor het nummer
bryan ferry|extended play the price of love;bryan ferry|the price of love;top40.nl zet de uitgave voor het nummer
burdy|er is geen vrouw op de wereld;burdy|geen vrouw op de wereld;2013 oranje
byrds|all i really want to do;byrds cher|all i really want to do;
cats|rock & roll i gave you the best years of my life;cats|rock n roll i gave you the best years of my life;zelfde nummer, andere schrijfwijze (bron kent er twee)
charlene|twiedeliedie;charlene|twiedeliedje;2008 oranje
charly lownoise & mental theo|wonderfull days;charly lownoise & mental theo|wonderful days;zelfde nummer, andere schrijfwijze (bron kent er twee)
cher|gypsys tramps & thieves;cher|gypsies tramps & thieves;zelfde nummer, andere schrijfwijze (bron kent er twee)
ckay ft elgrandetoto love nwantiti|north african remix;ckay ft elgrandetoto|love nwantiti north african remix;2021 tipparade
clinton ford|dandy;clinton ford the kinks herman s hermits|dandy;
clubhouse|deep in my heart;club house|deep in my heart;zelfde artiest, andere spatiëring of afkorting
cocktail trio|wie heeft de sleutel van de jukebox gezien;cocktail trio|wie heeft de sleutel van de juke box gezien;zelfde nummer, andere schrijfwijze (bron kent er een)
coldplay|up&up;coldplay|up & up;zelfde nummer, andere spatiëring
conny van den bos|ik ben gelukkig zonder jou;conny vandenbos|ik ben gelukkig zonder jou;zelfde artiest, andere spatiëring of afkorting
cornelis vreeswijk|de nozem en de non ep;cornelis vreeswijk|de nozem en de non;zelfde nummer, andere schrijfwijze (bron kent er een)
cupid s inspiration|yesterday has gone;cupids inspiration|yesterday has gone;zelfde artiest, andere spatiëring of afkorting
d j bobo|everybody;dj bobo|everybody;vastgestelde schrijfwijze levert een andere sleutel op
d j bobo|freedom;dj bobo|freedom;vastgestelde schrijfwijze levert een andere sleutel op
d j bobo|keep on dancing;dj bobo|keep on dancing;vastgestelde schrijfwijze levert een andere sleutel op
d j bobo|let the dream come true;dj bobo|let the dream come true;vastgestelde schrijfwijze levert een andere sleutel op
d j bobo|love is all around;dj bobo|love is all around;vastgestelde schrijfwijze levert een andere sleutel op
d j bobo|pray;dj bobo|pray;vastgestelde schrijfwijze levert een andere sleutel op
d j bobo|somebody dance with me;dj bobo|somebody dance with me;vastgestelde schrijfwijze levert een andere sleutel op
d j bobo|take control;dj bobo|take control;vastgestelde schrijfwijze levert een andere sleutel op
d j bobo|there is a party;dj bobo|there is a party;vastgestelde schrijfwijze levert een andere sleutel op
d re stra ts|extendedanc ep lay twisting by the pool;d re stra ts|twisting by the pool;top40.nl zet de uitgave voor het nummer
dakkeraf|morgen zeg ik het;dakkeraf|morgen zeg ik he;2010 oranje
danny de munk ft dj galaga|als jij maar bij me bent;danny de munk|als jij maar bij me bent;vastgestelde schrijfwijze levert een andere sleutel op
danny de munk ft dj galaga|amsterdam laat je niet kisten;danny de munk|amsterdam laat je niet kisten;vastgestelde schrijfwijze levert een andere sleutel op
danny de munk ft dj galaga|bij elke slok;danny de munk|bij elke slok;vastgestelde schrijfwijze levert een andere sleutel op
